US,243453
Italy,115242
Spain,112065
Germany,84794
China,67802
France,59105
Iran,50468
United Kingdom,33718
Switzerland,18827
Turkey,18135
Belgium,15348
Netherlands,14697
Austria,11129
"Korea, South",9976
Portugal,9034
Brazil,8044
Israel,6857
Sweden,5568
Canada,5518
Norway,5147
Czechia,3858
Ireland,3849
Russia,3548
Chile,3404
Denmark,3386
Ecuador,3163
Malaysia,3116
Poland,2946
Canada,2793
Romania,2738
Philippines,2633
India,2543
Japan,2495
Luxembourg,2487
Pakistan,2421
Australia,2298
Saudi Arabia,1885
Thailand,1875
Indonesia,1790
Greece,1544
Finland,1518
China,1507
South Africa,1462
Peru,1414
Dominican Republic,1380
Mexico,1378
Iceland,1319
Panama,1317
China,1276
China,1258
Serbia,1171
Colombia,1161
Argentina,1133
Canada,1121
Singapore,1049
Australia,1036
United Arab Emirates,1024
China,1019
Croatia,1011
China,990
Algeria,986
Canada,969
Qatar,949
China,937
Slovenia,897
Ukraine,897
Egypt,865
Estonia,858
Australia,835
China,802
New Zealand,797
China,775
Iraq,772
Diamond Princess,712
Morocco,708
Armenia,663
Lithuania,649
China,647
Bahrain,643
Hungary,585
China,582
China,579
China,554
Bosnia and Herzegovina,533
China,522
Moldova,505
Lebanon,494
China,488
Latvia,458
Bulgaria,457
Tunisia,455
Kazakhstan,435
Andorra,428
Slovakia,426
Azerbaijan,400
Australia,400
Costa Rica,396
North Macedonia,384
Australia,367
Cyprus,356
Uruguay,350
China,345
Kuwait,342
Taiwan*,339
China,325
France,308
Cameroon,306
Belarus,304
Jordan,299
Burkina Faso,288
Albania,277
Afghanistan,273
China,255
China,254
San Marino,245
Cuba,233
Vietnam,233
Oman,231
Honduras,219
Canada,206
Uzbekistan,205
Ghana,204
Malta,196
Senegal,195
Cote d'Ivoire,194
United Kingdom,193
Canada,193
Nigeria,184
China,183
Canada,183
Denmark,177
China,176
Mauritius,169
China,168
Canada,167
West Bank and Gaza,161
Sri Lanka,151
China,146
Venezuela,146
Montenegro,144
China,141
China,138
France,138
China,137
Congo (Kinshasa),134
Georgia,134
Brunei,133
France,128
Kosovo,125
Bolivia,123
China,117
Kyrgyzstan,116
France,116
Cambodia,110
Kenya,110
Niger,98
China,98
United Kingdom,95
Trinidad and Tobago,94
Canada,91
United Kingdom,88
Australia,87
Rwanda,84
Paraguay,77
China,76
Liechtenstein,75
China,75
Australia,72
Netherlands,60
Monaco,60
Madagascar,59
Bangladesh,56
Guinea,52
France,51
Jamaica,47
Guatemala,47
Barbados,46
Uganda,45
El Salvador,41
China,41
Djibouti,40
Zambia,39
Togo,39
France,37
Mali,36
United Kingdom,35
Ethiopia,29
United Kingdom,28
Bahamas,24
France,22
Congo (Brazzaville),22
Canada,22
Eritrea,22
Australia,21
Gabon,21
Tanzania,20
Burma,20
Guyana,19
Maldives,19
France,18
Netherlands,18
China,18
Syria,16
Haiti,16
Equatorial Guinea,15
Namibia,14
Mongolia,14
Benin,13
Saint Lucia,13
Canada,13
Dominica,12
Netherlands,11
Libya,11
Seychelles,10
Suriname,10
Mozambique,10
Grenada,10
Laos,10
Denmark,10
Antigua and Barbuda,9
Eswatini,9
Guinea-Bissau,9
Saint Kitts and Nevis,9
MS Zaandam,9
Zimbabwe,9
Chad,8
Angola,8
Sudan,8
Fiji,7
Holy See,7
Canada,6
Cabo Verde,6
Nepal,6
Liberia,6
France,6
Mauritania,6
Somalia,5
Bhutan,5
United Kingdom,5
United Kingdom,5
Nicaragua,5
Gambia,4
Botswana,4
United Kingdom,3
Malawi,3
Central African Republic,3
Burundi,3
Belize,3
United Kingdom,3
Sierra Leone,2
Netherlands,2
Canada,2
Saint Vincent and the Grenadines,2
Papua New Guinea,1
Timor-Leste,1
China,1
Canada,0
Canada,0
